Date,usdtry_close,usdtry_ret,usdtry_vol20,regime
2015-01-02,2.3269,,,DUSUK
2015-01-05,2.3449,0.0077356139069146845,,DUSUK
2015-01-06,2.3411,-0.0016205381892617776,,DUSUK
2015-01-07,2.3277,-0.00572380504890857,,DUSUK
2015-01-08,2.3255,-0.0009451389783907693,,DUSUK
2015-01-09,2.3076,-0.007697269404429163,,DUSUK
2015-01-12,2.3005,-0.0030767897382560916,,DUSUK
2015-01-13,2.2891,-0.0049554444685938615,,DUSUK
2015-01-14,2.2778,-0.004936437901358559,,DUSUK
2015-01-15,2.2927,0.006541399596101449,,DUSUK
2015-01-16,2.2803,-0.0054084703624547315,0.005222320919097479,DUSUK
2015-01-19,2.3084,0.012322939964039659,0.0065740167327627925,YUKSEK
2015-01-20,2.3382,0.0129093744584996,0.0073984181767913215,YUKSEK
2015-01-21,2.3358,-0.0010264305876316326,0.007094935199786828,YUKSEK
2015-01-22,2.3393,0.0014984159602706715,0.006823903972778891,YUKSEK
2015-01-23,2.3465,0.0030778437994269936,0.006611895251826281,YUKSEK
2015-01-26,2.3337,-0.005454932878755536,0.006563438067974132,YUKSEK
2015-01-27,2.3597,0.011141106397566158,0.006886558719407685,YUKSEK
2015-01-28,2.3561,-0.001525617663262313,0.006704287485334464,YUKSEK
2015-01-29,2.3621,0.002546581214719179,0.0065289435229836735,YUKSEK
2015-01-30,2.4013,0.016595402396172965,0.007269215089125985,YUKSEK
2015-02-02,2.4176,0.006787989838837438,0.007230100257618159,YUKSEK
2015-02-03,2.4236,0.002481800132362544,0.007193441970154931,YUKSEK
2015-02-04,2.415,-0.003548440336689218,0.007090068887432327,YUKSEK
2015-02-05,2.4098,-0.002153209109730825,0.007120363605865668,YUKSEK
2015-02-06,2.4441,0.014233546352394377,0.007266998723552859,YUKSEK
2015-02-09,2.4342,-0.004050570762243799,0.00731228985070286,YUKSEK
2015-02-10,2.4857,0.021156848245830195,0.00813001116568254,YUKSEK
2015-02-11,2.4796,-0.002454037092167183,0.008001774257853568,YUKSEK
2015-02-12,2.4896,0.004032908533634361,0.007984161556757895,YUKSEK
2015-02-13,2.4886,-0.00040167095115672957,0.0077432761839935785,YUKSEK
2015-02-16,2.4677,-0.008398296230812563,0.008010240381131125,YUKSEK
2015-02-17,2.4525,-0.00615958179681475,0.007949974429971874,YUKSEK
2015-02-18,2.4482,-0.0017533129459735841,0.007968195119380518,YUKSEK
2015-02-19,2.4612,0.005310023690874965,0.007991481818484787,YUKSEK
2015-02-20,2.4418,-0.0078823338209002,0.008323933521989717,YUKSEK
2015-02-23,2.4531,0.004627733639118725,0.00815057988460481,YUKSEK
2015-02-24,2.4772,0.009824303941950996,0.00808238626118947,YUKSEK
2015-02-25,2.4766,-0.00024220894558368844,0.008054092851208835,YUKSEK
2015-02-26,2.4598,-0.006783493499152082,0.00831879541422332,YUKSEK
2015-02-27,2.4786,0.007642897796568793,0.0077144744126150765,YUKSEK
2015-03-02,2.5077,0.011740498668603161,0.00796473523354649,YUKSEK
2015-03-03,2.5119,0.0016748414882163942,0.007963469613291495,YUKSEK
2015-03-04,2.5187,0.00270711413670921,0.007863707611828967,YUKSEK
2015-03-05,2.5409,0.00881407075078422,0.007931144289064836,YUKSEK
2015-03-06,2.5816,0.01601794639694587,0.00807663332740878,YUKSEK
2015-03-09,2.598,0.006352649519677733,0.007948145492168594,YUKSEK
2015-03-10,2.6047,0.0025789068514241453,0.0067448291614689935,YUKSEK
2015-03-11,2.627,0.008561446615733104,0.006780481658539972,YUKSEK
2015-03-12,2.6191,-0.0030072325846972614,0.0069009671588576675,YUKSEK
2015-03-13,2.5889,-0.011530678477339462,0.007568819827510537,YUKSEK
2015-03-16,2.613,0.009308972922862813,0.007319419188623864,YUKSEK
2015-03-17,2.6208,0.0029850746268655914,0.007003136794699178,YUKSEK
2015-03-18,2.615,-0.002213064713064594,0.0070214913140737665,YUKSEK
2015-03-19,2.6178,0.001070745697896669,0.007022381221838999,YUKSEK
2015-03-20,2.5926,-0.00962640385056146,0.007175263862828563,YUKSEK
2015-03-23,2.5938,0.0004628558204118338,0.0071867350473629535,YUKSEK
2015-03-24,2.5699,-0.009214280206646497,0.007465212732991669,YUKSEK
2015-03-25,2.5505,-0.007548931865053121,0.007747228628356473,YUKSEK
