Date,tlref_close,tlref_ret,tlref_vol20,regime
2019-06-14,1000.0,,,DUSUK
2019-06-17,1000.6801,0.0006801000000000723,,DUSUK
2019-06-18,1001.3524,0.0006718430795216168,,DUSUK
2019-06-19,1002.0272,0.0006738886330126537,,DUSUK
2019-06-20,1002.6998,0.0006712392637644449,,DUSUK
2019-06-21,1004.7335,0.0020282242003040185,,DUSUK
2019-06-24,1005.4091,0.0006724171135927826,,DUSUK
2019-06-25,1006.0848,0.0006720647346438735,,DUSUK
2019-06-26,1006.7508,0.0006619720325762302,,DUSUK
2019-06-27,1007.3852,0.0006301460103135259,,DUSUK
2019-06-28,1009.372,0.001972234652643179,0.0005625842247034801,YUKSEK
2019-07-01,1010.0495,0.0006712094252663281,0.0005395377396693716,YUKSEK
2019-07-02,1010.7143,0.0006581855641729639,0.0005195225587042922,YUKSEK
2019-07-03,1011.3637,0.0006425158919785012,0.000502066728675298,YUKSEK
2019-07-04,1012.0011,0.0006302381625917786,0.00048659698100891706,YUKSEK
2019-07-05,1013.9174,0.0018935750168651566,0.0005404693704533752,YUKSEK
2019-07-08,1014.5579,0.000631708263414632,0.0005271620321091678,YUKSEK
2019-07-09,1015.2124,0.0006451085738921059,0.0005142655579485385,YUKSEK
2019-07-10,1015.8655,0.0006433136553494201,0.0005022502728374956,YUKSEK
2019-07-11,1016.506,0.00063049685219152,0.0004913120583471658,YUKSEK
2019-07-12,1019.0682,0.002520595057973196,0.0006051513461006191,YUKSEK
2019-07-16,1019.7103,0.0006300854054712701,0.0006064059081530401,YUKSEK
2019-07-17,1020.3577,0.000634886202483198,0.0006073298373770655,YUKSEK
2019-07-18,1021.004,0.0006334053244270166,0.0006083325478664307,YUKSEK
2019-07-19,1022.953,0.0019089053519867338,0.0006417295895892107,YUKSEK
2019-07-22,1023.5976,0.000630136477433485,0.0005985913333354858,YUKSEK
2019-07-23,1024.2426,0.0006301304340690095,0.0005996252919871371,YUKSEK
2019-07-24,1024.888,0.000630124152227074,0.0006006419506690699,YUKSEK
2019-07-25,1025.5338,0.0006301176323657565,0.0006014219010988423,YUKSEK
2019-07-26,1027.1746,0.0015999472664871561,0.0006153444246975213,YUKSEK
2019-07-29,1027.7137,0.0005248377442355068,0.0005755070803693154,YUKSEK
2019-07-30,1028.2406,0.0005126914236912583,0.000579912673369498,YUKSEK
2019-07-31,1028.7754,0.0005201117326041338,0.0005836655475422813,YUKSEK
2019-08-01,1029.308,0.0005177028921958815,0.0005870649506274923,YUKSEK
2019-08-02,1030.9232,0.0015692096048995907,0.0006033669632443531,YUKSEK
2019-08-05,1031.4664,0.0005269063689710141,0.0005642415877041925,YUKSEK
2019-08-06,1032.0104,0.0005274044796803601,0.0005669239710250339,YUKSEK
2019-08-07,1032.5523,0.0005250916076040557,0.0005698712349777854,YUKSEK
2019-08-08,1033.0969,0.00052743091076346,0.0005726368732970249,YUKSEK
2019-08-09,1036.3556,0.003154302369893891,0.0007683319183015304,YUKSEK
2019-08-15,1036.8997,0.000525012843081818,0.000680623580716506,YUKSEK
2019-08-16,1038.5356,0.001577683936064389,0.0006960043596380838,YUKSEK
2019-08-19,1039.0819,0.0005260291510469361,0.0006987329558817963,YUKSEK
2019-08-20,1039.6297,0.0005271961719284235,0.0007013433475992337,YUKSEK
2019-08-21,1040.1711,0.0005207623445155907,0.0006644340592963996,YUKSEK
2019-08-22,1040.7122,0.0005202028781610135,0.000666670231955208,YUKSEK
2019-08-23,1042.3355,0.0015597972234782098,0.0006842066990249468,YUKSEK
2019-08-26,1042.8738,0.0005164364065122218,0.0006868253155694001,YUKSEK
2019-08-27,1043.4144,0.0005183752818411769,0.0006893331069233187,YUKSEK
2019-08-28,1043.9653,0.0005279781455960197,0.0006705887239599794,YUKSEK
2019-08-29,1046.1681,0.0021100318181073163,0.0007263183945497299,YUKSEK
2019-09-02,1046.7097,0.0005176988287063367,0.0007261821489342583,YUKSEK
2019-09-03,1047.2556,0.0005215390666579722,0.0007261438740020956,YUKSEK
2019-09-04,1047.7975,0.0005174476985370102,0.0007261507779990588,YUKSEK
2019-09-05,1048.3431,0.0005207113015637255,0.0007123134670728238,YUKSEK
2019-09-06,1049.9929,0.001573721427650776,0.0007265380490801634,YUKSEK
2019-09-09,1050.5334,0.0005147653855563927,0.0007268761383526185,YUKSEK
2019-09-10,1051.0776,0.0005180225588259368,0.0007270646694831339,YUKSEK
2019-09-11,1051.6242,0.0005200377212870588,0.0007272604347824702,YUKSEK
2019-09-12,1052.1735,0.0005223348797034344,0.0004977725832595381,YUKSEK
2019-09-13,1053.5738,0.0013308641588101189,0.0005103937345476027,YUKSEK
2019-09-16,1054.0525,0.00045435829934281635,0.0004810518570516015,DUSUK
2019-09-17,1054.5346,0.00045737759741570905,0.00048291473312796603,DUSUK
2019-09-18,1055.0207,0.00046096164127762407,0.00048466389736707884,DUSUK
2019-09-19,1055.5038,0.0004579057074425297,0.0004863283614137623,YUKSEK
2019-09-20,1056.9512,0.001371288289061523,0.0005037415826731839,YUKSEK
2019-09-23,1057.4324,0.00045527172872317223,0.0004727163842089762,DUSUK
2019-09-24,1057.9071,0.00044891758565368534,0.00047447963223406977,DUSUK
2019-09-25,1058.3817,0.0004486216228249962,0.00047626160264258103,DUSUK
2019-09-26,1058.8549,0.00044709767752038054,0.0004782500444535655,DUSUK
2019-09-27,1060.2714,0.0013377659205242587,0.0003802716666340573,DUSUK
2019-09-30,1060.7446,0.00044630082448682273,0.0003821057695025608,DUSUK
2019-10-01,1061.2146,0.00044308498011691455,0.0003840674024584438,DUSUK
2019-10-02,1061.6769,0.00043563290591741577,0.000386122133245426,DUSUK
2019-10-03,1062.1325,0.0004291324413294717,0.0003883754794815383,DUSUK
2019-10-04,1063.5798,0.001362636017634422,0.00036417075358807435,DUSUK
2019-10-07,1064.0641,0.0004553490015513084,0.00036551282013892093,DUSUK
2019-10-08,1064.552,0.00045852500803267304,0.0003667989633811518,DUSUK
2019-10-09,1065.0396,0.0004580330505228325,0.0003681008410953873,DUSUK
2019-10-10,1065.528,0.00045857449807495954,0.0003693933432138307,DUSUK
2019-10-11,1066.9777,0.0013605461329968538,0.0003724010215769309,DUSUK
2019-10-14,1067.46,0.0004520244424979225,0.0003724600984848979,DUSUK
2019-10-15,1067.942,0.00045153916774398617,0.0003726066322215214,DUSUK
2019-10-16,1068.4197,0.0004473089362531102,0.0003729487486854286,DUSUK
2019-10-17,1068.8789,0.0004297936475712305,0.0003736888010384441,DUSUK
2019-10-18,1070.2837,0.0013142742363050353,0.00036790794613730284,DUSUK
2019-10-21,1070.7499,0.0004355854433737427,0.000368417617856767,DUSUK
2019-10-22,1071.2218,0.00044071916327048655,0.0003686295628595255,DUSUK
2019-10-23,1071.6984,0.00044491252885259236,0.0003687242207387755,DUSUK
2019-10-24,1072.1727,0.00044256854353807995,0.00036884089027892783,DUSUK
2019-10-25,1073.4268,0.0011696809665082686,0.00035333972820795025,DUSUK
2019-10-28,1074.3047,0.0008178480358418394,0.00035367023284644617,DUSUK
2019-10-30,1074.7461,0.00041087039831455563,0.0003546641020924334,DUSUK
2019-10-31,1075.1786,0.00040242062753237384,0.0003557168792596928,DUSUK
2019-11-01,1076.48,0.001210403555279127,0.0003746471089159981,DUSUK
2019-11-04,1076.8997,0.000389881837098649,0.0003418644444466911,DUSUK
2019-11-05,1077.2902,0.0003626150141931017,0.00034486712979176225,DUSUK
2019-11-06,1077.6725,0.0003548718813184415,0.0003481515784306688,DUSUK
2019-11-07,1078.0573,0.0003570658061702314,0.00035123113794791326,DUSUK
2019-11-08,1079.2579,0.0011136699320157817,0.0003667958721455203,DUSUK
2019-11-11,1079.6891,0.000399533790764961,0.0003284358108938972,DUSUK
