fold,fold_start,fold_end,family,params,horizon,is_mean,oos_mean,decay_pct,is_t,n_days,mean_excess_bps,t_stat,p_one,avg_signals_per_day,n_trades,win_rate
1,2026-01-02,2026-07-02,Momentum,lookback126-skip20,10,62.044668687585194,5.770241357995263,90.69985950436728,0.6976610848184932,115,5.770241357995263,0.054726157424987355,0.4781783149868595,30.31304347826087,3486,49.05335628227194
1,2026-01-02,2026-07-02,MeanReversion,lookback10,40,-176.20037419861936,-163.7344025629615,,-1.0736528146937725,68,-163.7344025629615,-1.206119072603576,0.8861142090803705,4.588235294117647,312,41.66666666666667
1,2026-01-02,2026-07-02,52wHigh,lookback252,40,378.05895012090053,-93.58653109798011,124.75448103213847,1.4274193426878188,85,-93.58653109798011,-1.039642686919644,0.8507470314884074,10.458823529411765,889,46.11923509561305
1,2026-01-02,2026-07-02,VolCompression,lookback20-width1.5,40,146.08925835925788,-146.63091625163543,200.37077188183508,1.0004538387857713,79,-146.63091625163543,-1.1180640210191524,0.8682301742940214,6.341772151898734,501,46.10778443113773
