hypothesis,horizon,period,event_count,excess_return_bps,t_stat,p_value,event_count_nonoverlap,excess_return_bps_nonoverlap,t_stat_nonoverlap,p_value_nonoverlap,p_value_for_correction,q_value_bh
52w_low_bounce,5,full,635,-30.64948907693537,-1.688470620246748,0.09181267273118725,155.0,-74.1195876935774,-1.4113279039949989,0.16016507021008553,0.16016507021008553,0.2956893603878502
52w_high_breakout,20,full,876,59.984599294138775,2.922953099365388,0.0035566207445342766,62.0,103.34855857653332,1.4081739259580979,0.16415591094275966,0.16415591094275966,0.2984652926231994
vol_regime_low_vol_regime,20,older,66,-2.5116861645097942e-15,-0.18773746976605216,0.8516672926308344,8.0,-7.423187414362997e-14,-1.5133449585044279,0.17395758334286227,0.17395758334286227,0.3115658209125891
xsect_reversal_bottom20_lb10,5,full,980,6.4081740735044495,1.8948801903978878,0.058402700785226136,205.0,10.083014360719561,1.3443928260591198,0.1803144096166852,0.1803144096166852,0.31769826956693004
vol_regime_high_vol_regime,5,full,231,-2.6959039784366204e-15,-1.0687841704659435,0.286287360706172,59.0,-6.437510847514287e-15,-1.3486986158286223,0.18267650500098476,0.18267650500098476,0.31769826956693004
xsect_reversal_bottom20_lb20,5,recent,492,-4.981272482872889,-1.3368951834843874,0.18187593200489402,103.0,-11.040780039569439,-1.3156163084753616,0.1912523378421032,0.1912523378421032,0.3278611505864626
52w_low_bounce,10,older,201,-306.76556425554344,-4.832351502194025,2.6823329199053116e-06,38.0,-217.68204673712324,-1.311334808453834,0.1978244665312128,0.1978244665312128,0.3343512110386695
calendar_month_end,1,full,105,15.104277738548399,1.1820163079698938,0.23989481158074613,,,,,0.23989481158074613,0.3998246859679102
xsect_momentum_top20_lb20,20,recent,477,-45.04072414455208,-4.661607038995572,4.079926427390352e-06,34.0,-48.62376813907639,-1.17596228318393,0.24802413093576903,0.24802413093576903,0.40771090016838746
vol_regime_high_vol_regime,10,full,229,1.1268864101835687e-14,2.912042309972842,0.003947271300390055,36.0,7.798095869633856e-15,1.1389068301608687,0.26247744141058305,0.26247744141058305,0.42563909417932383
xsect_reversal_bottom20_lb20,10,recent,487,-13.686798067533843,-2.6708269112030067,0.0078201720792052,68.0,-14.725096577351776,-1.1006115094963558,0.2750043578407521,0.2750043578407521,0.4400069725452034
xsect_momentum_top20_lb10,20,recent,477,-51.02669598850356,-5.131557808085616,4.1927590768626324e-07,34.0,-46.80788570750695,-1.0856178599954573,0.2855152238116907,0.2855152238116907,0.4508135112816169
52w_low_bounce,20,recent,419,-135.0348126504521,-3.8647230503541787,0.00012889102178822315,32.0,-131.36095697256877,-1.0321502634515511,0.309987419182017,0.309987419182017,0.4830972766472992
xsect_reversal_bottom20_lb10,10,recent,487,-15.750086613606978,-3.0331386618573903,0.002549702819917501,68.0,-14.367802679858983,-0.9890426925198295,0.326200708674543,0.326200708674543,0.5018472441146815
vol_regime_low_vol_regime,20,full,183,-3.0646325878881493e-15,-0.5303470489651531,0.5965178051017943,20.0,-2.3785956677466877e-14,-0.9966841760302834,0.3314427416268012,0.3314427416268012,0.5034573290533689
vol_regime_high_vol_regime,5,recent,117,-5.401396025259791e-16,-0.21268073098509407,0.8319492925812975,33.0,-5.081112240847398e-15,-0.9693329009889255,0.3396490539105157,0.3396490539105157,0.5094735808657735
calendar_dow_Mon,1,recent,99,14.250479304964976,0.9377321490174061,0.3506873919865957,,,,,0.3506873919865957,0.5195368770171788
vol_regime_high_vol_regime,5,older,114,-4.908398995818595e-15,-1.1155351302172938,0.2669878860166888,26.0,-8.159093694437648e-15,-0.9415621335585418,0.3554269450918329,0.3554269450918329,0.5201369928173165
calendar_month_start,1,full,96,16.108140188365905,0.9073642951425622,0.36651007267053026,,,,,0.36651007267053026,0.5298940809694414
52w_low_bounce,5,older,201,-95.25553780068358,-1.8934797233488385,0.05973778302680083,58.0,-116.50225038328266,-0.8784089454804633,0.38340970550518394,0.38340970550518394,0.5422086206215236
vol_regime_high_vol_regime,10,recent,115,4.7994418883656405e-15,1.2738441933351587,0.20530960493944983,18.0,8.503805903084881e-15,0.8934996743789645,0.3840644396069126,0.3840644396069126,0.5422086206215236
52w_low_bounce,10,recent,429,-45.32324480930295,-2.2576934635683865,0.024467904515398275,63.0,-52.55676695385744,-0.8600760280202654,0.3930607614870816,0.3930607614870816,0.5473924854858163
xsect_reversal_bottom20_lb10,10,full,975,1.4209391524454817,0.31149715843074804,0.7554893625325119,134.0,9.725189522071085,0.8499875058084233,0.3968595519772168,0.3968595519772168,0.5473924854858163
xsect_reversal_bottom20_lb20,20,recent,477,-35.991274272995966,-4.809702249866558,2.0314583905501873e-06,34.0,-23.679286180988854,-0.8493988535037709,0.4017796293613909,0.4017796293613909,0.5478813127655331
